No.,population,State,No. of confirmed cases,Mortality Count,Latitude,Longitude
0,127792286,Nacional,5833738,325242,,
1,1434635,Aguascalientes ,68338,3518,21.87945992,-102.2904135
2,3634868,Baja California ,136259,12300,30.76405113,-116.0092603
3,804708,Baja California Sur ,106770,2685,26.01333335,-111.3516635
4,1000617,Campeche ,34679,2244,18.65365928,-91.82448019
7,5730367,Chiapas ,39569,2413,16.74999697,-92.63337447
8,3801487,Chihuahua ,132756,9985,26.93335472,-105.6666358
9,9018645,Coahuila ,1430106,42855,28.32998781,-100.8499789
5,3218720,Colima ,146263,8810,18.92038129,-103.8799748
6,785153,Distrito Federal ,55713,2201,19.44244244,-99.1309882
10,1868996,Durango ,68599,3640,25.57005292,-103.5000238
11,6228175,Guanajuato ,284196,14890,20.67001609,-101.4999909
12,3657048,Guerrero ,98867,6772,17.54997398,-99.5000096
13,3086414,Hidalgo ,94789,8423,20.17043418,-98.73003076
14,8409693,Jalisco ,248922,19727,19.77001935,-104.3699966
15,17427790,Mexico ,579428,47331,19.41001548,-99.02998661
16,4825401,Michoacan ,94579,8855,19.67997316,-100.569996
17,2044058,Morelos ,71372,5280,18.92110476,-99.23999964
18,1288571,Nayarit ,59445,3202,21.81999758,-105.2200481
19,5610153,Nuevo Leon ,323381,15003,25.1899986,-99.83998885
20,4143593,Oaxaca ,122036,6210,16.42999066,-95.01999882
21,6604451,Puebla ,170915,16465,18.90002077,-98.44999618
22,2279637,Queretaro ,143822,6215,20.37998212,-100.0000308
23,1723259,Quintana Roo ,94372,4380,21.20839057,-86.7114549
24,2866142,San Luis Potosi ,188668,7499,22.00001243,-99.66999923
25,3156674,Sinaloa ,129094,9773,23.19999086,-106.2300381
26,3074745,Sonora ,166551,10155,27.58000775,-109.9299931
27,2572287,Tabasco ,189313,6050,18.40002545,-93.22997888
28,3650602,Tamaulipas ,148115,8005,22.73335268,-98.95001734
29,1380011,Tlaxcala ,44051,3092,19.31999514,-98.2300096
30,8539862,Veracruz ,181702,16585,17.93997601,-94.73999007
31,2259098,Yucatan ,113052,6818,21.09998985,-89.27998743
32,1666426,Zacatecas ,68016,3861,22.35001691,-102.88001
