location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Mexico,MEX,12/24/2020,2924,2924,,,,,0,0,,,,,
Mexico,MEX,12/25/2020,,,,,,1300,,,,,10,1300,0.001
Mexico,MEX,12/26/2020,,,,,,1300,,,,,10,1300,0.001
Mexico,MEX,12/27/2020,6824,6824,,,,1300,0.01,0.01,,,10,1300,0.001
Mexico,MEX,12/28/2020,9579,9579,,,2755,1664,0.01,0.01,,,13,1664,0.001
Mexico,MEX,12/29/2020,18529,18529,,,8950,3121,0.01,0.01,,,24,3121,0.002
Mexico,MEX,12/30/2020,24998,24998,,,6469,3679,0.02,0.02,,,28,3679,0.003
Mexico,MEX,12/31/2020,,,,,,3695,,,,,28,3695,0.003
Mexico,MEX,1/1/2021,,,,,,4051,,,,,31,4051,0.003
Mexico,MEX,1/2/2021,,,,,,4407,,,,,34,4407,0.003
Mexico,MEX,1/3/2021,,,,,,4763,,,,,37,4763,0.004
Mexico,MEX,1/4/2021,43960,43960,,,,4912,0.03,0.03,,,38,4912,0.004
Mexico,MEX,1/5/2021,48236,48236,,,4276,4244,0.04,0.04,,,33,4244,0.003
Mexico,MEX,1/6/2021,53185,53185,,,4949,4027,0.04,0.04,,,31,4027,0.003
Mexico,MEX,1/7/2021,58402,58402,,,5217,4230,0.04,0.04,,,32,4230,0.003
Mexico,MEX,1/8/2021,67468,67468,,,9066,4984,0.05,0.05,,,38,4984,0.004
Mexico,MEX,1/9/2021,74794,74794,,,7326,5488,0.06,0.06,,,42,5488,0.004
Mexico,MEX,1/10/2021,81300,81300,,,6506,5876,0.06,0.06,,,45,5876,0.005
Mexico,MEX,1/11/2021,87060,87060,,,5760,6157,0.07,0.07,,,47,6157,0.005
Mexico,MEX,1/12/2021,92879,92879,,,5819,6378,0.07,0.07,,,49,6378,0.005
Mexico,MEX,1/13/2021,192567,192567,,,99688,19912,0.15,0.15,,,153,19912,0.015
Mexico,MEX,1/14/2021,329983,329983,,,137416,38797,0.25,0.25,,,298,38797,0.03
Mexico,MEX,1/15/2021,417375,415417,1958,,87392,49987,0.32,0.32,0,,384,49707,0.038
Mexico,MEX,1/16/2021,463246,461025,2221,,45871,55493,0.36,0.35,0,,426,55176,0.042
Mexico,MEX,1/17/2021,472142,468708,3434,,8896,55835,0.36,0.36,0,,429,55344,0.042
Mexico,MEX,1/18/2021,492529,485983,6546,,20387,57924,0.38,0.37,0.01,,445,56989,0.044
Mexico,MEX,1/19/2021,498122,488513,9609,,5593,57892,0.38,0.38,0.01,,444,56519,0.043
Mexico,MEX,1/20/2021,501030,489628,11402,,2908,44066,0.38,0.38,0.01,,338,42437,0.033
Mexico,MEX,1/21/2021,552335,534317,18018,,51305,31765,0.42,0.41,0.01,,244,29191,0.022
Mexico,MEX,1/22/2021,614808,594725,20083,,62473,28205,0.47,0.46,0.02,,217,25615,0.02
Mexico,MEX,1/23/2021,618768,596296,22472,,3960,22217,0.48,0.46,0.02,,171,19324,0.015
Mexico,MEX,1/24/2021,629626,604441,25185,,10858,22498,0.48,0.46,0.02,,173,19390,0.015
Mexico,MEX,1/25/2021,645105,616390,28715,,15479,21797,0.5,0.47,0.02,,167,18630,0.014
Mexico,MEX,1/26/2021,652319,621005,31314,,7214,22028,0.5,0.48,0.02,,169,18927,0.015
Mexico,MEX,1/27/2021,656044,624730,31314,,3725,22145,0.5,0.48,0.02,,170,19300,0.015
Mexico,MEX,1/28/2021,657842,626528,31314,,1798,15072,0.51,0.48,0.02,,116,13173,0.01
Mexico,MEX,1/29/2021,662217,630820,31397,,4375,6773,0.51,0.48,0.02,,52,5156,0.004
Mexico,MEX,1/30/2021,670307,631298,39009,,8090,7363,0.51,0.48,0.03,,57,5000,0.004
Mexico,MEX,1/31/2021,673327,631485,41842,,3020,6243,0.52,0.48,0.03,,48,3863,0.003
Mexico,MEX,2/1/2021,675202,631747,43455,,1875,4300,0.52,0.48,0.03,,33,2194,0.002
Mexico,MEX,2/2/2021,677539,631791,45748,,2337,3603,0.52,0.49,0.04,,28,1541,0.001
Mexico,MEX,2/3/2021,686601,632439,54162,,9062,4365,0.53,0.49,0.04,,34,1101,0.001
Mexico,MEX,2/4/2021,695088,634346,60742,,8487,5321,0.53,0.49,0.05,,41,1117,0.001
Mexico,MEX,2/5/2021,700316,636070,64246,,5228,5443,0.54,0.49,0.05,,42,750,0.001
Mexico,MEX,2/6/2021,710198,637098,73100,,9882,5699,0.55,0.49,0.06,,44,829,0.001
Mexico,MEX,2/7/2021,713517,637681,75836,,3319,5741,0.55,0.49,0.06,,44,885,0.001
Mexico,MEX,2/8/2021,717820,638391,79429,,4303,6088,0.55,0.49,0.06,,47,949,0.001
Mexico,MEX,2/9/2021,,,,,,6246,,,,,48,1066,0.001
Mexico,MEX,2/10/2021,724707,640115,84592,,,5444,0.56,0.49,0.06,,42,1097,0.001
Mexico,MEX,2/11/2021,725447,640115,85332,,740,4337,0.56,0.49,0.07,,33,824,0.001
Mexico,MEX,2/12/2021,726002,640115,85887,,555,3669,0.56,0.49,0.07,,28,578,0
Mexico,MEX,2/13/2021,726313,640125,86188,,311,2302,0.56,0.49,0.07,,18,432,0
Mexico,MEX,2/14/2021,,,,,,3497,,,,,27,2018,0.002
Mexico,MEX,2/15/2021,749682,663484,86198,,,4552,0.58,0.51,0.07,,35,3585,0.003
Mexico,MEX,2/16/2021,915383,829185,86198,,165701,27731,0.7,0.64,0.07,,213,27133,0.021
Mexico,MEX,2/17/2021,1058139,958473,99666,,142756,47633,0.81,0.74,0.08,,366,45480,0.035
Mexico,MEX,2/18/2021,1318055,,,,259916,84658,1.01,,,,650,59534,0.046
Mexico,MEX,2/19/2021,1574158,1155227,418931,,256103,121165,1.21,0.89,0.32,,930,73587,0.056
Mexico,MEX,2/20/2021,1656304,1210886,445418,,82146,132856,1.27,0.93,0.34,,1020,81537,0.063
Mexico,MEX,2/21/2021,1689158,1236103,453055,,32854,135880,1.3,0.95,0.35,,1043,83471,0.064
Mexico,MEX,2/22/2021,1733404,1277187,456217,,44246,140532,1.33,0.98,0.35,,1079,87672,0.067
Mexico,MEX,2/23/2021,1801156,1336854,464302,,67752,126539,1.38,1.03,0.36,,971,72524,0.056
Mexico,MEX,2/24/2021,1900784,1425395,475389,,99628,120378,1.46,1.09,0.36,,924,66703,0.051
Mexico,MEX,2/25/2021,2088813,1562401,526412,,188029,110108,1.6,1.2,0.4,,845,72222,0.055
Mexico,MEX,2/26/2021,2271032,1708721,562311,,182219,99553,1.74,1.31,0.43,,764,79071,0.061
Mexico,MEX,2/27/2021,2383411,1818034,565377,,112379,103872,1.83,1.4,0.43,,797,86735,0.067
Mexico,MEX,2/28/2021,2455095,1889672,565423,,71684,109420,1.88,1.45,0.43,,840,93367,0.072
Mexico,MEX,3/1/2021,2526863,1959525,567338,,71768,113351,1.94,1.5,0.44,,870,97477,0.075
Mexico,MEX,3/2/2021,2583435,2012853,570582,,56572,111754,1.98,1.55,0.44,,858,96571,0.074
Mexico,MEX,3/3/2021,2633580,2043941,589639,,50145,104685,2.02,1.57,0.45,,804,88364,0.068
Mexico,MEX,3/4/2021,2676035,,,,42455,83889,2.05,,,,644,74850,0.057
Mexico,MEX,3/5/2021,2731900,2128766,603134,,55865,65838,2.1,1.63,0.46,,505,60006,0.046
Mexico,MEX,3/6/2021,2765805,2162358,603447,,33905,54628,2.12,1.66,0.46,,419,49189,0.038
Mexico,MEX,3/7/2021,2793106,,,,27301,48287,2.14,,,,371,44879,0.034
Mexico,MEX,3/8/2021,2849630,2245291,604339,,56524,46110,2.19,1.72,0.46,,354,40824,0.031
Mexico,MEX,3/9/2021,3100868,2495067,605801,,251238,73919,2.38,1.92,0.47,,567,68888,0.053
Mexico,MEX,3/10/2021,3488000,2882000,606000,,387132,122060,2.68,2.21,0.47,,937,119723,0.092
Mexico,MEX,3/11/2021,3800000,,,,312000,160566,2.92,,,,1233,150355,0.115
Mexico,MEX,3/12/2021,4005131,3395671,609460,,205131,181890,3.07,2.61,0.47,,1396,180986,0.139
Mexico,MEX,3/13/2021,4214294,3604420,609874,,209163,206927,3.24,2.77,0.47,,1589,206009,0.158
Mexico,MEX,3/14/2021,4339926,3730045,609881,,125632,220974,3.33,2.86,0.47,,1696,218032,0.167
Mexico,MEX,3/15/2021,4404608,3794719,609889,,64682,222140,3.38,2.91,0.47,,1705,221347,0.17
